term,definition
"_root._dictionary._title","Dictionary"
"_root._dictionary._description","This setting identifies the user application content dictionary element. There are three kinds of elements: operations, modules, and attributes. Users can customize words.
		the keyword cannot be duplicated and can not be the same as syntax keywords."
"_root._dictionary._duplicateKey","There are some duplicate keywords in the Dictionary setting! Please modify."
"_root._dictionary._similarElement","Found similar definition in dictionary"
"_root._dictionary._ignore","Ignore Words"
"ignore._title","Ignore words"
"operation._title","Operation"
"operation.add","add"
"operation.edit","edit"
"operation.delete","delete"
"operation.view","view details"
"operation.enter","Enter"
"operation.validate","Validate"
"operation.preview","preview"
"operation.submit","submit"
"operation.execute","execute"
"operation.report","report"
"operation.cancel","cancel"
"operation.reset","reset"
"operation.search","search"
"operation.filter","filter"
"operation.next","next"
"operation.previous","previous"
"fun._title","Function"
"fun.home","Home"
"fun.sign-out","sign out"
"fun.sign-in","sign in"
"fun.sign-up","sign up"
"fun.forgot-password","forgot password"
"fun.change-password","change password"
"fun.upload","upload"
"fun.download","download"
"fun.export","export"
"fun.import","import"
"info._title","Information"
"info.success","success"
"info.fail","fail"
"info.error","error"
"info.confirm","confirm"
"info.info","information"
"info.warning","warning"
"attribute._title","Attribute name"
"attribute.id","id|key"
"attribute.name","name"
"attribute.username","user name"
"attribute.password","password"
"attribute.confirm-password","confirm password"
"attribute.old-password","old password"
"attribute.new-password","new password"
"attribute.number","number"
"attribute.price","price"
"attribute.value","value"
"attribute.text","text"
"attribute.email","email"
"attribute.phone","phone"
"attribute.address","address"
"attribute.postcode","postcode"
"attribute.role","role"
"attribute.permission","permission"
"attribute.common","common"
"attribute.file","file"
"attribute.link","link"
"_model._defStatusScript._assign","Default script of set data status"
"_model._defStatusScript._attach","Default script of attach data status"
"_model._validType.exist","Exist"
"_model._validType.unexist","Unexist"
"_model._validType.disable","Disabled"
"_model._validType.enable","Enabled"
"_model._validType.checked","Checked"
"_model._validType.unchecked","Unchecked"
"_model._validType.equalInnerText","Equals Text"
"_model._validType.includeInnerText","Includes Text"
"_model._validType.equalValue","Equals Input Value"
"_model._validType.includeValue","Includes Input Value"
"_model._validType.hasCss","Has CSS"
"_model._identifyScript","Identify Status Script"
"_model._disableOptions","Disable options"
"_model._disableDesc","Disabled when related '' data is disabled ($status=='Disable')"
"_model._trashDesc","Disabled when related '' data is in trash ($status=='Trash')"
"_model._validDesc","When  = , the element, , is ."
"_model._validDesc1","The element, , is ."
"_model._errorToSetDemoValue","Setting demo data error (No field found to set demo data)."
"_model._actionList","Action List"
"_model._setupDemoValue","Setup Demo Value"
"_model._tryAction","1. Click to highlight the element. 
2. Double click to execute the action."
"_model._tryFromHere","Try to execute from here and below actions"
"_model._assignStatusScript","Assign/Attach data status script"
"_model._selectUpdateFields","Update fields"
"_model._statusDesc","Note: Going through a specific process does not necessarily mean that the data status will change. After the completion of each process, the data status can be altered using a data status script."
"_model._missInitModel","Missing initial model! The model must be initialized before it can be mapped."
"_model._initModel","Initialize AI-Model"
"_model._neverUsed","Never used"
"_model._usedBy","Used by"
"_model._neverUsedBy","Never used by"
"_model._used","Used"
"_model._validItems","Validations"
"_model._preSetActions","Pre-Steps of Set value"
"_model._preValidActions","Pre-Steps of Validation"
"_model._validationActions","Validation Actions"
"_model._cssContent","Element id, class, attributes ..."
"_model._pathOption._title","Path scheme"
"_model._pathOption._form.","Type element path"
"_model._pathOption._form.view","Data display element path"
"_model._pathOption._form.cur","The element in the current panel"
"_model._pathOption._view.","Batch validation"
"_model._pathOption._view.input","Type element path"
"_model._pathOption._view.view","Data display element path"
"_model._pathOption._view.cur","The element in the current panel"
"_model._template._definition","Template Definition"
"_model._template._templateContent","Template Content"
"_model._template._underTemplate","From template:"
"_model._template._applied","Applied"
"_model._template.field","Field"
"_model._template.button","Button"
"_model._template._templateList","Template List"
"_model._template._refreshData","Updates the template with the current item ()."
"_model._template._applyList","Item list of apply template()"
"_model._template._templateType.field","Field Template"
"_model._template._templateType.button","Button/Link Template"
"_model._template._noUsedTemplate","Unable to modify unused template."
"_model._template._curApplyTemplate","The template currently being used is:"
"_model._scanForm","Scan form"
"_model._openPage","Open page"
"_model._openForm","Open form"
"_model._enterSetting","Enter setting"
"_model._applyTemplate","Apply Template"
"_model._confirmReplaceToEmpty","Are you sure you want to clear the value of  from selected items?"
"_model._outerItem","Outer element of current panel"
"_model._templateDesc","Specify an AI model as template to build models"
"_model._requiredMark","Identify required field mark(css)"
"_model._customizeInput","Identify customize input, dropdown list(css)"
"_model._formTab","Identify form tab"
"_model._requiredMarkDesc","Set the required field mark for identification to help better complete the form identification task"
"_model._customizeDesc","This tool will automatically recognize custom input boxes and drop-down menus. For those that cannot be identified correctly, you can use this setting to help with form identification tasks. Users can try intelligent automatic scan first, then add omissions and scan again."
"_model._formTabDesc","Style the form tabs to help scan fields in the tabs."
"_model._batchType","Batch add model type"
"_model._askCreateStdModels","Do you want to create the below models?"
"_model._selectModule","Select an exist Module"
"_model._confirmApplyDefinitionSrc","Do you want to overwrite the current model setting?"
"_model._dependenceTitle","Dependency conditions"
"_model._moduleRef","Reference"
"_model._autoDependence","Auto insert dependencies"
"_model._advanceSrc","Advance Setting"
"_model._advanceDesc","Advance Setting in JSON format"
"_model._aiIdentifySetting","AI modeling recognition settings"
"_model._curUser","Current user"
"_model._oprRole","Operation role"
"_model._panelName",""
"_model._confirmScan","A re-scan removes the existing field buttons in the form. 
Adding individual fields can be solved by adding them manually. 

Please confirm whether to continue scanning."
"_model._supportVE","Validate values on the panel/form"
"_model._supportValidateFillForm","Test form fill logic"
"_model._aiBuilderDesc","This function requires the user application to label elements in accordance with the data-bz rule. If the labeling is correct and complete, this function will automatically complete the establishment of a series of test modules and test cases."
"_model._aiBuilderScriptDesc","If it is not convenient to use data-bz directly on the page, you can dynamically insert the corresponding data-bz value on the page through a script. And choose not to use the data-bz value to identify the element."
"_model._flowFilterTitle","Filter flow"
"_model._validationTest","Validation Test Case"
"_model._synaModel","Sync Module"
"_model._formModel","Form Module"
"_model._submitTxt","Submit|Save|Confirm|Yes|OK"
"_model._initData","Initial Data"
"_model._dataFlow","DataFlow"
"_model._baseData","Module Data Template"
"_model._baseDataDesc","The template data is useful on merging with other attribute set to build a property entity data."
"_model._initDataDesc","If current module data already exists, and it will be used, define it here"
"_model._dynamicData","Dynamic Data"
"_model._comboFun","//Parameter: data is the variable of current module data. 
  //You should set the combo attribute value on it."
"_model._noExit","[No Exist!!!]"
"_model._result","Result"
"_model._specifyElementByCss","Specify element by CSS"
"_model._readonly","Readonly in the form"
"_model._gotoRefModule","Go to ref-module"
"_model._enterDetailsName","enter"
"_model._confirmDelete","Do you want to delete the selected item(s) and the related item(s)?"
"_model._confirmClear","Do you want to clear all items from the selected panel?"
